Edition,City,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
1900,Paris,Aquatics,Water polo,"ROBERTSON, Arthur",GBR,Men,water polo,M,Gold
1900,Paris,Aquatics,Water polo,"ROBINSON, Eric",GBR,Men,water polo,M,Gold
1900,Paris,Aquatics,Water polo,"WILKINSON, George",GBR,Men,water polo,M,Gold
1900,Paris,Aquatics,Water polo,"COHEN, Henri",BEL,Men,water polo,M,Silver
1900,Paris,Aquatics,Water polo,"DE BACKER, Jean",BEL,Men,water polo,M,Silver
1900,Paris,Aquatics,Water polo,"DE BEHR, Victor",BEL,Men,water polo,M,Silver
1900,Paris,Aquatics,Water polo,"FEYAERTS, Fernand",BEL,Men,water polo,M,Silver
1900,Paris,Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Men,water polo,M,Silver
1900,Paris,Aquatics,Water polo,"MICHANT, Albert",BEL,Men,water polo,M,Silver
1900,Paris,Aquatics,Water polo,"SONNEMANS, Victor",BEL,Men,water polo,M,Silver
1900,Paris,Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"au chapelet, 33m",M,Bronze
1900,Paris,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au chapelet, 33m",M,Gold
1900,Paris,Archery,Archery,"THIBAUD, Victor",FRA,Men,"au chapelet, 33m",M,Silver
1900,Paris,Archery,Archery,"MERCIER, Emile",FRA,Men,"au chapelet, 50m",M,Bronze
1900,Paris,Archery,Archery,"MOUGIN, Eugène",FRA,Men,"au chapelet, 50m",M,Gold
1900,Paris,Archery,Archery,"HELLE, Henri",FRA,Men,"au chapelet, 50m",M,Silver
1900,Paris,Archery,Archery,"PETIT, Charles Frédéric",FRA,Men,"au cordon doré, 33m",M,Bronze
1900,Paris,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon doré, 33m",M,Gold
1900,Paris,Archery,Archery,"THIBAUD, Victor",FRA,Men,"au cordon doré, 33m",M,Silver
1900,Paris,Archery,Archery,"FISSEUX, Emile",FRA,Men,"au cordon doré, 50m",M,Bronze
1900,Paris,Archery,Archery,"HEROUIN, Henri",FRA,Men,"au cordon doré, 50m",M,Gold
1900,Paris,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon doré, 50m",M,Silver
1900,Paris,Archery,Archery,"FOULON, Emmanuel",BEL,Men,sur la perche à la herse,M,Gold
1900,Paris,Archery,Archery,"DRUART, Jr.",BEL,Men,sur la perche à la herse,M,Silver
1900,Paris,Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche à la herse,M,Silver
1900,Paris,Archery,Archery,"GLINEUX, Louis",BEL,Men,sur la perche à la pyramide,M,Bronze
1900,Paris,Archery,Archery,"GRUMIAUX, Emile",FRA,Men,sur la perche à la pyramide,M,Gold
1900,Paris,Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche à la pyramide,M,Silver
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,100m,M,Bronze
1900,Paris,Athletics,Athletics,"JARVIS, Francis",USA,Men,100m,M,Gold
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,100m,M,Silver
1900,Paris,Athletics,Athletics,"MOLONEY, Frederick",USA,Men,110m hurdles,M,Bronze
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,110m hurdles,M,Gold
1900,Paris,Athletics,Athletics,"MCLEAN, John",USA,Men,110m hurdles,M,Silver
1900,Paris,Athletics,Athletics,"BRAY, John",USA,Men,1500m,M,Bronze
1900,Paris,Athletics,Athletics,"BENNETT, Charles",GBR,Men,1500m,M,Gold
1900,Paris,Athletics,Athletics,"DELOGE, Henri",FRA,Men,1500m,M,Silver
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,200m,M,Bronze
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m,M,Gold
1900,Paris,Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m,M,Silver
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,200m hurdles,M,Bronze
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,200m hurdles,M,Gold
1900,Paris,Athletics,Athletics,"PRITCHARD, Norman",IND,Men,200m hurdles,M,Silver
1900,Paris,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,M,Bronze
1900,Paris,Athletics,Athletics,"ORTON, George",CAN,Men,3000m steeplechase,M,Gold
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,M,Silver
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,M,Bronze
1900,Paris,Athletics,Athletics,"RIMMER, John",GBR,Men,4000m steeplechase,M,Gold
1900,Paris,Athletics,Athletics,"BENNETT, Charles",GBR,Men,4000m steeplechase,M,Silver
1900,Paris,Athletics,Athletics,"SCHULTZ, Ernst",DEN,Men,400m,M,Bronze
1900,Paris,Athletics,Athletics,"LONG, Maxwell W.Maxey",USA,Men,400m,M,Gold
1900,Paris,Athletics,Athletics,"HOLLAND, William",USA,Men,400m,M,Silver
1900,Paris,Athletics,Athletics,"ORTON, George",CAN,Men,400m hurdles,M,Bronze
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,400m hurdles,M,Gold
1900,Paris,Athletics,Athletics,"TAUZIN, Henri",FRA,Men,400m hurdles,M,Silver
1900,Paris,Athletics,Athletics,"BENNETT, Charles",ZZX,Men,5000m team,M,Gold
1900,Paris,Athletics,Athletics,"RIMMER, John",ZZX,Men,5000m team,M,Gold
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",ZZX,Men,5000m team,M,Gold
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",ZZX,Men,5000m team,M,Gold
1900,Paris,Athletics,Athletics,"TYSOE, Alfred",ZZX,Men,5000m team,M,Gold
1900,Paris,Athletics,Athletics,"CASTANET, André",FRA,Men,5000m team,M,Silver
1900,Paris,Athletics,Athletics,"CHAMPOUDRY, Michel",FRA,Men,5000m team,M,Silver
1900,Paris,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,5000m team,M,Silver
1900,Paris,Athletics,Athletics,"DELOGE, Henri",FRA,Men,5000m team,M,Silver
1900,Paris,Athletics,Athletics,"RAGUENEAU, Gaston",FRA,Men,5000m team,M,Silver
1900,Paris,Athletics,Athletics,"ROWLEY, Stanley",AUS,Men,60m,M,Bronze
1900,Paris,Athletics,Athletics,"KRAENZLEIN, Alvin",USA,Men,60m,M,Gold
1900,Paris,Athletics,Athletics,"TEWKSBURY, Walter B. John",USA,Men,60m,M,Silver
1900,Paris,Athletics,Athletics,"HALL, David",USA,Men,800m,M,Bronze
